[2025-05-31 23:33:51,192] 19 root -INFO -Initiate the data ingestion
[2025-05-31 23:33:53,576] 65 root -INFO -Performed train test split on the dataframe
[2025-05-31 23:33:53,576] 67 root -INFO -Exited split_data_as_train_test method of Data_Ingestion class
[2025-05-31 23:33:53,577] 75 root -INFO -Exporting train and test file path.
[2025-05-31 23:33:53,611] 84 root -INFO -Exported train and test file path.
[2025-05-31 23:33:53,611] 21 root -INFO -Data Initiation completed
[2025-05-31 23:33:53,615] 25 root -INFO -initiate data validation
[2025-05-31 23:33:53,686] 32 root -INFO -Required number of columns:2
[2025-05-31 23:33:53,686] 33 root -INFO -Data frame has columns:31
[2025-05-31 23:33:53,686] 32 root -INFO -Required number of columns:2
[2025-05-31 23:33:53,686] 33 root -INFO -Data frame has columns:31
[2025-05-31 23:33:53,777] 27 root -INFO - data validation completed
[2025-05-31 23:33:53,777] 29 root -INFO -Initiate data transformation
[2025-05-31 23:33:53,777] 63 root -INFO -Entered initiate_data_transformation method of DataTransformation class
[2025-05-31 23:33:53,777] 65 root -INFO -Starting data transformation
[2025-05-31 23:33:53,790] 48 root -INFO -Entered get_data_trnasformer_object method of Trnasformation class
[2025-05-31 23:33:53,790] 53 root -INFO -Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-05-31 23:33:53,796] 37 root -INFO -Entered the save_object method of MainUtils class
[2025-05-31 23:33:53,798] 41 root -INFO -Exited the save_object method of MainUtils class
[2025-05-31 23:33:53,798] 37 root -INFO -Entered the save_object method of MainUtils class
[2025-05-31 23:33:53,799] 41 root -INFO -Exited the save_object method of MainUtils class
[2025-05-31 23:33:53,800] 35 root -INFO -Data transformation completed
[2025-05-31 23:33:53,800] 37 root -INFO -Model Training started
