[2025-05-31 23:25:57,300] 19 root -INFO -Initiate the data ingestion
[2025-05-31 23:26:08,509] 65 root -INFO -Performed train test split on the dataframe
[2025-05-31 23:26:08,509] 67 root -INFO -Exited split_data_as_train_test method of Data_Ingestion class
[2025-05-31 23:26:08,510] 75 root -INFO -Exporting train and test file path.
[2025-05-31 23:26:08,656] 84 root -INFO -Exported train and test file path.
[2025-05-31 23:26:08,657] 21 root -INFO -Data Initiation completed
[2025-05-31 23:26:08,691] 25 root -INFO -initiate data validation
[2025-05-31 23:26:08,803] 32 root -INFO -Required number of columns:2
[2025-05-31 23:26:08,803] 33 root -INFO -Data frame has columns:31
[2025-05-31 23:26:08,803] 32 root -INFO -Required number of columns:2
[2025-05-31 23:26:08,804] 33 root -INFO -Data frame has columns:31
[2025-05-31 23:26:09,161] 27 root -INFO - data validation completed
[2025-05-31 23:26:09,162] 29 root -INFO -Initiate data transformation
[2025-05-31 23:26:09,162] 63 root -INFO -Entered initiate_data_transformation method of DataTransformation class
[2025-05-31 23:26:09,163] 65 root -INFO -Starting data transformation
[2025-05-31 23:26:09,216] 48 root -INFO -Entered get_data_trnasformer_object method of Trnasformation class
[2025-05-31 23:26:09,216] 53 root -INFO -Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-05-31 23:26:09,242] 37 root -INFO -Entered the save_object method of MainUtils class
[2025-05-31 23:26:09,248] 41 root -INFO -Exited the save_object method of MainUtils class
[2025-05-31 23:26:09,248] 37 root -INFO -Entered the save_object method of MainUtils class
[2025-05-31 23:26:09,252] 41 root -INFO -Exited the save_object method of MainUtils class
[2025-05-31 23:26:09,254] 35 root -INFO -Data transformation completed
[2025-05-31 23:26:09,255] 37 root -INFO -Model Training started
