[2025-05-31 23:28:12,014] 19 root -INFO -Initiate the data ingestion
[2025-05-31 23:28:15,240] 65 root -INFO -Performed train test split on the dataframe
[2025-05-31 23:28:15,240] 67 root -INFO -Exited split_data_as_train_test method of Data_Ingestion class
[2025-05-31 23:28:15,241] 75 root -INFO -Exporting train and test file path.
[2025-05-31 23:28:15,326] 84 root -INFO -Exported train and test file path.
[2025-05-31 23:28:15,327] 21 root -INFO -Data Initiation completed
[2025-05-31 23:28:15,335] 25 root -INFO -initiate data validation
[2025-05-31 23:28:15,440] 32 root -INFO -Required number of columns:2
[2025-05-31 23:28:15,440] 33 root -INFO -Data frame has columns:31
[2025-05-31 23:28:15,440] 32 root -INFO -Required number of columns:2
[2025-05-31 23:28:15,440] 33 root -INFO -Data frame has columns:31
[2025-05-31 23:28:15,668] 27 root -INFO - data validation completed
[2025-05-31 23:28:15,669] 29 root -INFO -Initiate data transformation
[2025-05-31 23:28:15,669] 63 root -INFO -Entered initiate_data_transformation method of DataTransformation class
[2025-05-31 23:28:15,669] 65 root -INFO -Starting data transformation
[2025-05-31 23:28:15,712] 48 root -INFO -Entered get_data_trnasformer_object method of Trnasformation class
[2025-05-31 23:28:15,712] 53 root -INFO -Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-05-31 23:28:15,739] 37 root -INFO -Entered the save_object method of MainUtils class
[2025-05-31 23:28:15,746] 41 root -INFO -Exited the save_object method of MainUtils class
[2025-05-31 23:28:15,746] 37 root -INFO -Entered the save_object method of MainUtils class
[2025-05-31 23:28:15,751] 41 root -INFO -Exited the save_object method of MainUtils class
[2025-05-31 23:28:15,752] 35 root -INFO -Data transformation completed
[2025-05-31 23:28:15,753] 37 root -INFO -Model Training started
